Id,Term,Year,location,College,Department,Major,level,Degree_level,headcount,headcount_pibb
1,Fall,2012,Off,CALS,"Ag, Leadership & Community Education",AEE,Masters,Masters,1,0.33
2,Fall,2012,Off,CALS,Agricultural & Applied Economics,AGRB,Seniors,Bachelors,1,0.25
3,Fall,2012,Off,CALS,Animal and Poultry Sciences,APSC,Non-degree-seeking,Non-degre,1,0.25
4,Fall,2012,Off,CALS,Animal and Poultry Sciences,APSC,Seniors,Bachelors,2,2.00
5,Fall,2012,Off,CALS,Biochemistry,BIOC,Seniors,Bachelors,1,0.50
6,Fall,2012,Off,CALS,CALS Administration,ALS,Masters,Masters,45,8.78
7,Fall,2012,Off,CALS,Crop & Soil Environmental Science,ENSC,Juniors,Bachelors,1,0.25
8,Fall,2012,Off,CALS,Food Science and Technology,FST,Masters,Masters,4,0.00
9,Fall,2012,Off,CALS,"Human Nutrition, Foods & Exercise",HNFE,Seniors,Bachelors,7,7.00
10,Fall,2012,Off,CAUS,School of Architecture + Design,ADR,Doctoral,Doctoral,9,7.00
11,Fall,2012,Off,CAUS,School of Architecture + Design,ARCH,Masters,Masters,50,42.0
12,Fall,2012,Off,CAUS,School of Architecture + Design,LAR,Masters,Masters,29,23.6
13,Fall,2012,Off,CAUS,School of Pub & Internat Affairs,PAPA,Doctoral,Doctoral,61,36.6
14,Fall,2012,Off,CAUS,School of Pub & Internat Affairs,PAPA,Masters,Masters,65,36.8
15,Fall,2012,Off,CAUS,School of Pub & Internat Affairs,PGG,Doctoral,Doctoral,23,12.4
16,Fall,2012,Off,CAUS,School of Pub & Internat Affairs,PIA,Masters,Masters,34,19.1
17,Fall,2012,Off,CAUS,School of Pub & Internat Affairs,URPL,Masters,Masters,44,32.4
18,Fall,2012,Off,CLAHS,"Apparel, Housing and Resource Mgmt",AHRM,Freshmen,Bachelors,1,1.00
19,Fall,2012,Off,CLAHS,Communication,COMM,Seniors,Bachelors,1,1.00
20,Fall,2012,Off,CLAHS,Department of Religion and Culture,IDST,Juniors,Bachelors,1,0.25
21,Fall,2012,Off,CLAHS,Department of Religion and Culture,IDST,Seniors,Bachelors,4,1.00
22,Fall,2012,Off,CLAHS,Foreign Languages and Literatures,FLCL,Masters,Masters,7,4.33
